UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.180000, 3, -87, 16.709999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 0.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.180000, 3, -90, 17.920000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 1.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.180000, 3, -92, 19.320000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 2.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.180000, 3, -90, 20.530001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 3.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.180000, 3, -89, 21.590000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 4.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.180000, 3, -87, 22.280001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.180000, 3, -88, 23.110001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.180000, 3, -90, 24.230000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.180000, 3, -91, 25.490000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.180000, 3, -91, 26.709999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 10.180000, 3, -87, 27.080000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 11.180000, 3, -90, 28.080000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 12.180000, 3, -90, 29.049999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 13.180000, 3, -91, 30.170000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 14.180000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 15.180000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 16.180000, 3, -92, 34.220001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 17.180000, 3, -87, 34.009998, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 18.180000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 19.180000, 3, -90, 36.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 20.180000, 3, -88, 35.990002, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 21.180000, 3, -87, 35.630001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 22.180000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 23.180000, 3, -90, 37.450001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 24.180000, 3, -86, 36.560001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 25.180000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 26.180000, 3, -90, 37.880001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 27.180000, 3, -90, 38.369999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 28.180000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 29.180000, 3, -91, 40.419998, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 30.180000, 3, -89, 40.450001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 31.180000, 3, -87, 39.709999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 32.180000, 3, -93, 11.360000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 32.180000, 3, -83, 37.009998, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 33.180000, 3, -92, 10.680000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 33.180000, 3, -82, 34.230000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 34.180000, 3, -92, 10.450000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 34.180000, 3, -80, 30.820000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 35.180000, 3, -92, 10.330000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 35.180000, 3, -79, 27.620001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 36.180000, 3, -94, 10.790000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 36.180000, 3, -82, 26.420000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 37.180000, 3, -93, 10.900000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 37.180000, 3, -85, 26.280001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 38.180000, 3, -90, 10.190000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 38.180000, 3, -79, 24.020000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 39.180000, 3, -91, 9.950000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 39.180000, 3, -79, 22.280001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 40.180000, 3, -92, 9.960000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 40.180000, 3, -80, 21.219999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 41.180000, 3, -91, 9.800000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 41.180000, 3, -80, 20.360001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 42.180000, 3, -90, 9.520000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 42.180000, 3, -80, 19.650000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 43.180000, 3, -90, 9.300000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 43.180000, 3, -84, 19.760000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 44.180000, 3, -82, 19.549999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 44.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 45.180000, 3, -80, 19.020000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 45.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 46.180000, 3, -79, 18.360001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 46.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 47.180000, 3, -84, 18.500000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 47.180000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 48.180000, 3, -92, 9.360000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 48.180000, 3, -80, 18.059999, 5, 8
