UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.650000, 3, -90, 40.240002, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.650000, 3, -89, 40.279999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.650000, 3, -88, 39.959999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.650000, 3, -89, 40.020000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.650000, 3, -91, 40.660000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.650000, 3, -89, 40.669998, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.650000, 3, -88, 40.320000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.650000, 3, -89, 40.360001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.650000, 3, -90, 40.700001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.650000, 3, -90, 41.029999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 10.650000, 3, -90, 41.330002, 5, 8
