UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 0.070000, 2, -85, 0.410000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.070000, 2, -54, 0.510000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 0.070000, 3, -66, 1.010000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 1.070000, 2, -85, 0.430000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.070000, 2, -54, 0.490000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 1.070000, 3, -65, 0.880000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 2.070000, 2, -83, 0.390000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.070000, 2, -54, 0.480000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 2.070000, 2, -64, 0.760000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 3.070000, 2, -83, 0.380000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.070000, 2, -53, 0.440000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 3.070000, 2, -63, 0.650000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 4.070000, 2, -83, 0.370000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.070000, 2, -53, 0.430000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 4.070000, 2, -64, 0.630000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 5.070000, 2, -82, 0.340000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.070000, 2, -52, 0.390000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 5.070000, 2, -63, 0.590000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 6.070000, 2, -82, 0.330000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.070000, 2, -52, 0.380000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 6.070000, 2, -62, 0.530000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 7.070000, 2, -83, 0.340000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.070000, 2, -52, 0.370000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 7.070000, 2, -62, 0.500000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.070000, 2, -51, 0.340000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 8.070000, 2, -83, 0.350000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 8.070000, 2, -61, 0.460000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.070000, 2, -51, 0.330000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 9.070000, 2, -83, 0.350000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 9.070000, 2, -62, 0.460000, 10, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 10.070000, 2, -51, 0.320000, 10, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 50730, 33558, green, 10.070000, 2, -83, 0.360000, 10, 1
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 10.070000, 2, -62, 0.460000, 10, 4
