UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.460000, 0, 0, -1.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.460000, 0, 0, -1.000000, 5, 8
